2022-11-08 16:30:48,247 INFO    MainThread:85941 [wandb_setup.py:_flush():68] Configure stats pid to 85941
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_setup.py:_flush():68] Loading settings from /Users/nishadevadiga/.config/wandb/settings
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_setup.py:_flush():68] Loading settings from /Users/nishadevadiga/Downloads/Stock-Trading-Environment-master/wandb/settings
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/Users/nishadevadiga/Downloads/Stock-Trading-Environment-master/main.py'}
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_init.py:_log_setup():476] Logging user logs to /Users/nishadevadiga/Downloads/Stock-Trading-Environment-master/wandb/run-20221108_163048-2h6qqi9w/logs/debug.log
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/nishadevadiga/Downloads/Stock-Trading-Environment-master/wandb/run-20221108_163048-2h6qqi9w/logs/debug-internal.log
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_init.py:init():516] calling init triggers
2022-11-08 16:30:48,248 INFO    MainThread:85941 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'policy_type': 'MlpPolicy', 'total_timesteps': 200000, 'env_name': 'StockTradingEnv'}
2022-11-08 16:30:48,249 INFO    MainThread:85941 [wandb_init.py:init():569] starting backend
2022-11-08 16:30:48,249 INFO    MainThread:85941 [wandb_init.py:init():573] setting up manager
2022-11-08 16:30:48,251 INFO    MainThread:85941 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-11-08 16:30:48,255 INFO    MainThread:85941 [wandb_init.py:init():580] backend started and connected
2022-11-08 16:30:48,257 INFO    MainThread:85941 [wandb_init.py:init():658] updated telemetry
2022-11-08 16:30:48,270 INFO    MainThread:85941 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-08 16:30:48,547 INFO    MainThread:85941 [wandb_run.py:_on_init():2000] communicating current version
2022-11-08 16:30:48,656 INFO    MainThread:85941 [wandb_run.py:_on_init():2004] got version response 
2022-11-08 16:30:48,656 INFO    MainThread:85941 [wandb_init.py:init():728] starting run threads in backend
2022-11-08 16:30:50,555 INFO    MainThread:85941 [wandb_run.py:_console_start():1980] atexit reg
2022-11-08 16:30:50,555 INFO    MainThread:85941 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-08 16:30:50,556 INFO    MainThread:85941 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-08 16:30:50,556 INFO    MainThread:85941 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-08 16:30:50,556 INFO    MainThread:85941 [wandb_init.py:init():765] run started, returning control to user process
2022-11-08 16:30:57,732 WARNING MsgRouterThr:85941 [router.py:message_loop():77] message_loop has been closed
